Nakusp,-117.801106,50.239854
Coldstream,-119.230096,50.223923
Victoria,-123.365644,48.428421
Delta,-123.026476,49.095216
Vernon,-119.272011,50.267014
Washington,-87.177230,38.644770
Esquimalt,-123.411234,48.435842
Kamloops,-120.327267,50.674522
Lasqueti Island,-124.289700,49.485190
Powell River,-124.524706,49.835235
Tofino,-125.906618,49.152984
Burns Lake,-125.763613,54.233415
Mississauga,-79.644120,43.589045
Blind Bay,-119.397706,50.886273
Saanich,-123.376722,48.459263
Manning Park,-83.291320,42.381150
Richmond,-123.133569,49.166590
Salmon Arm,-119.283844,50.700103
Fruitvale,-117.548783,49.113702
Comox,-124.928266,49.673513
Vancouver,-123.120738,49.282729
Chemainus,-123.734481,48.930165
Prince George,-122.749669,53.917064
Greenwood,-118.678100,49.087896
Naramata,-119.595654,49.596295
San Francisco,-122.457121,37.789859
Dallas,-96.786850,32.800560
Little Fort,-120.205343,51.423965
Atlin,-133.689524,59.578028
Windsor,-83.036363,42.314937
Gibsons,-123.515222,49.397417
Edmonton,-113.490927,53.544389
Pittsburgh,-79.995890,40.440620
Ucluelet,-125.546345,48.941600
North Bay,-79.460820,46.309115
Burnaby,-122.966667,49.266667
Courtenay,-124.990449,49.684139
Douglas Lake,-84.444730,44.922050
108 Mile House,-121.345478,51.750319
Enderby,-119.139670,50.550850
Parksville,-124.313641,49.319338
Sorrento,-119.469938,50.876860
Bella Coola,52.371830,-126.753900
Coquitlam,49.283763,-122.793206
Rock Creek,35.93865,-79.48194
Masset,54.011458,-132.147198
Saanichton,48.596269,-123.416902
Quesnel,52.981737,-122.494906
Stewart,55.941312,-129.987892
Fredericton,45.963589,-66.643115
Kelowna,49.887952,-119.496011
Lazo,49.715016,-124.907872
Cranbrook,49.512968,-115.769400
Agassiz,49.238941,-121.765883
Eagle Creek,53.981740,-124.730980
Surrey,49.183333,-122.850000
New Westminster,49.205718,-122.910956
Qualicum,49.396319,-124.613846
Saltspring Island,48.83822229700275,-123.495769907357
Port Alberni,49.233888,-124.805549
Colwood,48.428756,-123.488893
Merritt,50.111308,-120.786222
Lumby,50.250699,-118.967831
Vanderhoof,53.905521,-123.928450
North Vancouver,49.326990,-123.073280
Nanaimo,49.165884,-123.940065
Tulameen,49.545860,-120.760240
Telegraph Creek,57.902930,-131.159156
Mount Currie,50.248333,-122.781944
Trail,40.59034,-81.70624
Los Angeles,34.0046744497,-118.3013593259
Castlegar,49.323741,-117.659334
Rossland,49.083130,-117.802240
Penticton,49.499138,-119.593708
Williams Lake,52.141674,-122.141689
Cherryville,35.40793,-81.39812
Mission,49.132927,-122.326160
Spences Bridge,50.414053,-121.359529
Sooke,48.374035,-123.735554
Kingston,44.231172,-76.485954
Ottawa,45.421530,-75.697193
Winlaw,49.610414,-117.563463
Smithers,54.782355,-127.168554
Abbotsford,49.054587,-122.328026
Carp,45.349066,-76.041322
Port Coquitlam,49.262838,-122.781071
St Catharines,43.159374,-79.246863
100 Mile House,51.643971,-121.295010
Port Hardy,50.720823,-127.496667
Winnipeg,49.899754,-97.137494
Campbell River,50.033123,-125.273335
Sechelt,49.474174,-123.754560
Revelstoke,50.998115,-118.195672
Nelson,49.492812,-117.294834
Squamish,49.701634,-123.155812
Golden,51.296119,-116.963137
Duncan,48.778691,-123.707942
Grand Forks,49.030095,-118.445139
Kaslo,49.914250,-116.915450
Toronto,43.653226,-79.383184
